requirement_id,criticality_level,failure_disposition,minimum_acceptable_score,evidence_required,incomplete_record_disposition,rationale,approval_status,source_status
R015,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Compliant triple packaging directly prevents unsafe specimen transport and release,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R016,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Workflow separation gaps require approved contamination controls before diagnostic activity,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R017,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Defined assay controls are necessary to identify invalid runs and unreliable results,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R018,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Two-identifier verification protects specimen identity and gaps require corrective action,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R019,Important,CORRECTIVE ACTION REQUIRED,3,TRUE,MANUAL REVIEW REQUIRED,CAPA tracking supports continuous control improvement without independently authorizing deployment,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R020,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Maintenance status supports equipment reliability and degraded records require correction,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R021,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Missing backup capacity requires restricted operations and an approved compensating plan,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R022,Conditional,CONDITIONAL DEPLOYMENT,5,TRUE,CONDITIONAL DEPLOYMENT,Cold-chain monitoring and alarms must be fully functional unless an equivalent monitored system is approved,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R023,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Contingency storage strengthens continuity and any limitation requires monitoring and correction,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R024,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Validated autoclave cycles are required to demonstrate effective biological waste treatment,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R025,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Waste segregation supports safe processing and inconsistency requires corrective action,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R026,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Validated disinfectant selection and concentration are essential for reliable decontamination,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R027,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Specified contact times support effective disinfection and must be corrected when absent,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R028,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Access-control gaps require approved temporary restrictions and documented oversight,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R029,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Current pathogen inventory reconciliation is required for material accountability and security,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R030,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Visitor controls support facility security and gaps require corrective monitoring,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R031,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Least-privilege access reduces information-security risk and deviations require remediation,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R032,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Untested restoration requires manual continuity review and documented corrective action,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R033,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Incident-notification procedures are necessary for immediate escalation and coordinated response,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R034,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,A defined exposure-management pathway is necessary for timely medical response,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R035,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Clear evacuation routes are important life-safety controls requiring immediate correction if degraded,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R036,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Consumable shortfalls require mission restrictions and an approved replenishment plan,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R037,Important,CORRECTIVE ACTION REQUIRED,3,TRUE,MANUAL REVIEW REQUIRED,Alternative suppliers strengthen resilience and gaps require supply-chain monitoring,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R038,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Verified vehicle and specimen conditions are required to prevent unsafe transport,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R039,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Route and security contingencies may be closed through an approved mission-specific plan,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R040,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Power-capacity gaps require restricted operations and an approved continuity control,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R041,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Communications redundancy supports response continuity and failed testing requires correction,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R042,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Task-specific PPE selection is a direct barrier against occupational exposure,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R043,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Observed donning and doffing competency must meet the threshold or duties must be restricted,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R044,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Sharps controls reduce preventable exposure and gaps require corrective action,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R045,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Defined result-authorization roles protect reporting integrity and require correction when unclear,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R046,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Preserved audit trails support accountability and deviations require remediation,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R047,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Assay verification for intended specimens is necessary before relying on diagnostic results,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R048,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Predefined QC acceptance criteria are necessary to reject invalid analytical runs,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R049,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Current point-of-use procedures support consistent performance and document gaps require correction,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R050,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Removing obsolete documents prevents procedural error and requires routine corrective control,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R051,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Visible calibration status supports reliable equipment use and labeling gaps require correction,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R052,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Service support limitations require a documented corrective continuity arrangement,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R053,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Fatigue controls support human performance and require monitoring and correction,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R054,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Two-person verification gaps require an approved alternative for defined critical tasks,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R055,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Site hazards require an approved reassessment or compensating mission controls,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R056,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Defined environmental-release controls are necessary to prevent uncontrolled biological release,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R057,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,A completed readiness review is the formal check that mandatory deployment controls are satisfied,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R058,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Formal authorization is required before deployment may proceed,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R059,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Documented exit decontamination is required to prevent release during demobilization,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R060,Non-critical,NO AUTOMATIC OVERRIDE,0,FALSE,NO AUTOMATIC OVERRIDE,Post-mission review is valuable for learning but does not independently control the current deployment decision,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
